Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Ping Start page 100,8595,2487,2761,2863,2897,2990,485,3875,"0,000%",",12762","6,52","0,01"
Ping Login page 100,8345,2563,2867,2989,3023,3653,384,9138,"0,000%",",12394","3,78","0,02"
Ping Clothes page 100,5167,4193,4722,4898,4975,6116,520,7138,"0,000%",",07676","5,16","0,01"
Ping Accessories page 100,4261,5132,5847,6047,6101,6238,547,7076,"0,000%",",06331","5,20","0,01"
Ping Art page 100,4873,4457,5051,5243,5301,5488,531,8769,"0,000%",",07242","4,42","0,01"
Ping Start page 50,31756,1443,1395,1542,1588,4242,490,5595,"0,000%",",47048","24,04","0,05"
Ping Login page 50,31961,1433,1445,1558,1591,1651,486,3840,"0,000%",",47365","14,46","0,06"
Ping Clothes page 50,19355,2371,2375,2536,2593,3124,728,8274,"0,000%",",28691","19,28","0,04"
Ping Accessories page 50,15830,2902,2927,3101,3151,3321,853,9733,"0,000%",",23472","19,26","0,03"
Ping Art page 50,15544,10783,5082,5228,5277,5825,647,911372,"0,000%",",23053","14,06","0,03"
Ping Login page 30,51777,1052,881,1672,1710,2889,482,8833,"0,000%",",76615","23,40","0,10"
Ping Start page 30,51477,1058,918,1683,1728,2978,595,9629,"0,000%",",76865","39,28","0,09"
Ping Clothes page 30,37097,1468,1424,1519,1602,3389,740,9847,"0,000%",",54820","36,84","0,07"
Ping Accessories page 30,30667,1777,1770,1903,1968,2286,854,9920,"0,000%",",45331","37,20","0,06"
Ping Art page 30,35751,1524,1527,1624,1653,1750,638,5401,"0,000%",",52861","32,25","0,06"
TOTAL,360110,2111,1495,3064,5040,5798,384,911372,"0,000%","2,30640","126,28","0,29"
